Freq.	V(rl_out)	V(rlc_out)
1.54525443953840e+000	(-2.58168148501933e+001dB,8.41129789769864e+001°)	(-4.60368428806909e+001dB,1.71455336618362e+002°)
1.54881661891247e+000	(-2.57970249375528e+001dB,8.40995543663032e+001°)	(-4.59968885436907e+001dB,1.71435588438923e+002°)
1.55238700995807e+000	(-2.57772359843919e+001dB,8.40860993443817e+001°)	(-4.59569344355351e+001dB,1.71415793919080e+002°)
1.55596563160506e+000	(-2.57574479950455e+001dB,8.40726138458546e+001°)	(-4.59169805574471e+001dB,1.71395952947539e+002°)
1.55955250282694e+000	(-2.57376609738681e+001dB,8.40590978052339e+001°)	(-4.58770269106569e+001dB,1.71376065412718e+002°)
1.56314764264094e+000	(-2.57178749252330e+001dB,8.40455511569098e+001°)	(-4.58370734964021e+001dB,1.71356131202742e+002°)
1.56675107010813e+000	(-2.56980898535331e+001dB,8.40319738351518e+001°)	(-4.57971203159272e+001dB,1.71336150205450e+002°)
1.57036280433354e+000	(-2.56783057631806e+001dB,8.40183657741079e+001°)	(-4.57571673704845e+001dB,1.71316122308387e+002°)
1.57398286446620e+000	(-2.56585226586073e+001dB,8.40047269078048e+001°)	(-4.57172146613332e+001dB,1.71296047398805e+002°)
1.57761126969933e+000	(-2.56387405442643e+001dB,8.39910571701474e+001°)	(-4.56772621897402e+001dB,1.71275925363663e+002°)
1.58124803927037e+000	(-2.56189594246226e+001dB,8.39773564949196e+001°)	(-4.56373099569799e+001dB,1.71255756089628e+002°)
1.58489319246110e+000	(-2.55991793041729e+001dB,8.39636248157834e+001°)	(-4.55973579643341e+001dB,1.71235539463069e+002°)
1.58854674859776e+000	(-2.55794001874256e+001dB,8.39498620662792e+001°)	(-4.55574062130921e+001dB,1.71215275370061e+002°)
1.59220872705115e+000	(-2.55596220789111e+001dB,8.39360681798256e+001°)	(-4.55174547045509e+001dB,1.71194963696383e+002°)
1.59587914723672e+000	(-2.55398449831796e+001dB,8.39222430897196e+001°)	(-4.54775034400153e+001dB,1.71174604327512e+002°)
1.59955802861465e+000	(-2.55200689048015e+001dB,8.39083867291361e+001°)	(-4.54375524207976e+001dB,1.71154197148632e+002°)
1.60324539069002e+000	(-2.55002938483675e+001dB,8.38944990311283e+001°)	(-4.53976016482179e+001dB,1.71133742044624e+002°)
1.60694125301286e+000	(-2.54805198184881e+001dB,8.38805799286273e+001°)	(-4.53576511236044e+001dB,1.71113238900068e+002°)
